LAT;LON;SPEED;ACCURACY;ALTITUDE;HEADING;TIME;ACTIVITY
59.66421872;10.7826664;1.57000005245;3.0;139.0;88.5999984741;1486135771.18;gar
59.66422191;10.78275448;1.53999996185;3.0;139.0;84.8000030518;1486135774.18;gar
59.66422304;10.78284297;1.63999998569;3.0;140.0;84.3000030518;1486135777.19;gar
59.66423119;10.78293089;1.62999999523;3.0;140.0;84.9000015259;1486135780.16;gar
59.66423406;10.78301394;1.55999994278;3.0;140.0;88.6999969482;1486135783.2;gar
59.66423647;10.78309664;1.57000005245;3.0;140.0;83.3000030518;1486135786.31;gar
59.66423746;10.78317828;1.46000003815;3.0;140.0;88.0;1486135789.17;gar
59.66424888;10.78326354;1.52999997139;3.0;140.0;83.5999984741;1486135792.14;gar
59.6642517;10.78334573;1.54999995232;3.0;140.0;84.8000030518;1486135795.15;gar
59.66425407;10.7834323;1.62000000477;3.0;140.0;83.5;1486135798.17;gar
59.66425675;10.78351229;1.50999999046;3.0;139.0;89.4000015259;1486135801.23;gar
59.66426197;10.78360109;1.55999994278;3.0;140.0;79.3000030518;1486135804.16;gar
59.66427025;10.78367698;1.58000004292;3.0;141.0;81.0;1486135807.19;gar
59.66428146;10.78376197;1.71000003815;3.0;140.0;74.9000015259;1486135810.15;gar
59.66429054;10.78384506;1.54999995232;3.0;140.0;83.3000030518;1486135813.27;gar
59.6643023;10.78392783;1.64999997616;3.0;140.0;75.1999969482;1486135816.23;gar
59.66431152;10.78401518;1.69000005722;3.0;140.0;79.8000030518;1486135819.2;gar
59.66431929;10.78410656;1.58000004292;3.0;140.0;88.4000015259;1486135822.2;gar
59.66432239;10.78419546;1.67999994755;3.0;140.0;83.1999969482;1486135825.19;gar
59.66432148;10.78429457;1.67999994755;3.0;140.0;94.6999969482;1486135828.19;gar
59.66432145;10.78439054;1.63999998569;3.0;141.0;94.4000015259;1486135831.26;gar
59.66431615;10.78447873;1.66999995708;3.0;141.0;97.0;1486135834.25;gar
59.66430218;10.78456269;1.37999999523;3.0;141.0;121.300003052;1486135837.2;gar
59.66425313;10.7845828;1.57000005245;3.0;142.0;168.0;1486135840.33;gar
59.66421134;10.78460697;1.64999997616;3.0;142.0;160.5;1486135843.17;gar
59.66416644;10.78462894;1.57000005245;3.0;141.0;167.0;1486135846.31;gar
59.66413231;10.78468466;1.60000002384;3.0;141.0;121.300003052;1486135849.11;gar
59.66412633;10.78477015;1.62000000477;3.0;141.0;90.9000015259;1486135852.16;gar
59.66412805;10.78485716;1.71000003815;3.0;141.0;89.4000015259;1486135855.16;gar
59.66412946;10.78494313;1.77999997139;3.0;140.0;86.6999969482;1486135858.17;gar
59.66413315;10.78502797;1.53999996185;3.0;140.0;84.6999969482;1486135861.25;gar
59.66413201;10.78511403;1.65999996662;3.0;140.0;79.3000030518;1486135864.23;gar
59.66413457;10.78519876;1.52999997139;3.0;140.0;92.5;1486135867.22;gar
59.66414095;10.78529718;1.59000003338;3.0;140.0;89.6999969482;1486135870.18;gar
59.66414583;10.78538043;1.55999994278;3.0;139.0;81.9000015259;1486135873.17;gar
59.6641536;10.78546627;1.64999997616;3.0;140.0;83.0999984741;1486135876.15;gar
59.66416351;10.78555066;1.65999996662;3.0;140.0;77.8000030518;1486135879.13;gar
59.66416097;10.78562584;1.30999994278;3.0;140.0;89.0;1486135882.16;gar
59.66416751;10.78571754;1.54999995232;3.0;140.0;89.5999984741;1486135885.18;gar
59.66417186;10.78579643;1.50999999046;3.0;140.0;85.5;1486135888.21;gar
59.66417217;10.78587704;1.50999999046;3.0;141.0;85.0;1486135891.25;gar
59.66418248;10.78596117;1.53999996185;3.0;142.0;78.1999969482;1486135894.14;gar
59.66419112;10.786044;1.47000002861;3.0;141.0;86.8000030518;1486135897.2;gar
59.66418913;10.78612717;1.35000002384;3.0;142.0;93.5;1486135900.18;gar
59.66419649;10.78621084;1.61000001431;3.0;142.0;88.3000030518;1486135903.17;gar
59.66420421;10.78629293;1.50999999046;3.0;142.0;76.6999969482;1486135906.13;gar
59.66420398;10.78637615;1.55999994278;3.0;141.0;89.3000030518;1486135909.18;gar
59.66420382;10.78647238;1.64999997616;3.0;141.0;90.5;1486135912.21;gar
59.66421022;10.78655951;1.45000004768;4.0;140.0;86.0;1486135915.2;gar
59.66421164;10.78664356;1.45000004768;3.0;140.0;89.1999969482;1486135918.27;gar
59.66422549;10.78673485;1.63999998569;3.0;140.0;81.9000015259;1486135921.21;gar
59.66422763;10.78681912;1.66999995708;3.0;140.0;94.1999969482;1486135924.21;gar
59.66421547;10.78690261;1.49000000954;3.0;140.0;107.199996948;1486135927.15;gar
59.66420179;10.7869831;1.47000002861;3.0;139.0;108.900001526;1486135930.12;gar
59.6641876;10.78706786;1.51999998093;3.0;139.0;105.599998474;1486135935.79;gar
59.66417958;10.78714946;01.mai;3.0;139.0;102.900001526;1486135936.2;gar
59.66416815;10.78724225;1.34000003338;3.0;139.0;95.4000015259;1486135939.24;gar
59.66416055;10.78732986;1.62000000477;3.0;139.0;96.3000030518;1486135942.16;gar
59.66416059;10.78741109;1.57000005245;3.0;138.0;79.0;1486135945.16;gar
59.66416743;10.78749032;1.62000000477;3.0;139.0;86.1999969482;1486135948.16;gar
59.66417703;10.78757515;1.55999994278;3.0;139.0;80.0999984741;1486135951.17;gar
59.66417872;10.78766258;1.40999996662;3.0;139.0;91.3000030518;1486135954.23;gar
59.66418304;10.78774054;1.37999999523;3.0;139.0;76.0;1486135957.12;gar
59.66418921;10.78782094;1.46000003815;3.0;140.0;87.3000030518;1486135960.2;gar
59.66420052;10.78789537;1.52999997139;3.0;139.0;80.1999969482;1486135963.28;gar
59.66420529;10.78798388;1.55999994278;3.0;139.0;77.4000015259;1486135966.23;gar
59.66420331;10.7880623;1.42999994755;3.0;140.0;90.0;1486135969.2;gar
59.6642068;10.78814227;1.51999998093;3.0;139.0;83.9000015259;1486135972.2;gar
59.66421042;10.78822262;1.49000000954;3.0;141.0;77.1999969482;1486135975.15;gar
59.66422124;10.78831535;1.42999994755;3.0;141.0;81.0;1486135978.11;gar
59.66422557;10.78839969;1.52999997139;3.0;141.0;85.5999984741;1486135981.14;gar
