bla 59.66505731 10.7785745 1.20000004768 3.0 154.0 104.099998474 1486223396.17 ute gar 
bla 59.66504956 10.77866473 1.38999998569 3.0 155.0 94.5 1486223399.25 ute gar 
bla 59.66504083 10.77875368 1.48000001907 3.0 154.0 99.0 1486223403.31 ute gar 
bla 59.66503021 10.77882299 1.28999996185 3.0 152.0 97.5 1486223406.32 ute gar 
bla 59.66503386 10.7789114 1.51999998093 3.0 151.0 102.599998474 1486223410.27 ute gar 
bla 59.66503284 10.7790023 1.40999996662 4.0 148.0 100.900001526 1486223414.19 ute gar 
bla 59.66502589 10.77908768 1.50999999046 3.0 149.0 113.900001526 1486223417.25 ute gar 
bla 59.6650196 10.77916427 1.54999995232 4.0 147.0 108.400001526 1486223420.15 ute gar 
bla 59.66500596 10.77923323 1.22000002861 4.0 147.0 123.699996948 1486223423.15 ute gar 
bla 59.66497923 10.77929746 1.35000002384 3.0 147.0 136.300003052 1486223426.29 ute gar 
bla 59.66494376 10.77934303 1.61000001431 4.0 149.0 144.300003052 1486223429.2 ute gar 
bla 59.664908 10.77935892 1.25 3.0 144.0 147.5 1486223432.14 ute gar 
bla 59.6648789 10.77940575 1.61000001431 3.0 144.0 136.0 1486223435.16 ute gar 
bla 59.66485406 10.77948647 1.52999997139 3.0 147.0 124.199996948 1486223438.18 ute gar 
bla 59.66483029 10.77954731 1.25999999046 3.0 147.0 119.699996948 1486223441.19 ute gar 
bla 59.66481641 10.77962956 1.59000003338 3.0 146.0 125.0 1486223445.16 ute gar 
bla 59.66479082 10.77968095 1.61000001431 4.0 144.0 127.5 1486223448.17 ute gar 
bla 59.66477241 10.77975238 1.48000001907 3.0 144.0 118.300003052 1486223451.21 ute gar 
bla 59.66475072 10.77981272 2.0 4.0 147.0 123.0 1486223453.3 ute gar 
bla 59.66474324 10.77989209 1.08000004292 3.0 145.0 127.900001526 1486223457.13 ute gar 
bla 59.66471854 10.77995911 1.40999996662 3.0 144.0 115.400001526 1486223460.24 ute gar 
bla 59.66469595 10.78002927 1.47000002861 3.0 144.0 129.399993896 1486223464.32 ute gar 
bla 59.66467502 10.7800964 1.20000004768 3.0 141.0 119.099998474 1486223469.78 ute gar 
bla 59.6646493 10.78018598 1.65999996662 3.0 140.0 132.0 1486223473.2 ute gar 
