ID,LAT,LON,SPEED,ACTIVITY
366,59.86033943,10.81039162,9.38247539722,Walking
367,59.8603195,10.81031521,9.54340964374,Walking
368,59.86030946,10.81019426,10.782604493,Driving
369,59.86032167,10.81005296,11.1366606028,Driving
370,59.86032902,10.80991794,12.6494440549,Driving
371,59.86032313,10.80975274,13.1322467944,Driving
372,59.86030654,10.80963565,13.6311441097,Driving
373,59.86029899,10.80948595,13.8725450958,Driving
374,59.86030187,10.80931158,14.6450310139,Driving
375,59.86032265,10.80910971,15.6589163833,Driving
376,59.86033039,10.80894203,16.1739075069,Driving
377,59.86033406,10.80878811,15.5784504111,Driving
378,59.8603502,10.80859184,15.8198513972,Driving
379,59.86036706,10.80841145,16.3992146847,Driving
380,59.86037317,10.80822865,16.6084295888,Driving
381,59.86039036,10.80803069,17.5579427944,Driving
382,59.86040205,10.8078145,17.8798112875,Driving
383,59.86043093,10.80762512,16.898112,Driving
384,59.86044159,10.80743937,17.2199804931,Driving
385,59.86046974,10.807226,17.6223164931,Driving
386,59.86046937,10.80706586,16.7532707944,Driving
387,59.86048598,10.80688528,16.6888970959,Driving
388,59.86050593,10.80669864,17.1073269041,Driving
389,59.86051237,10.80653822,17.0912330959,Driving
390,59.86053712,10.80634485,17.1717006028,Driving
391,59.86057304,10.80616429,17.5096629041,Driving
392,59.86058236,10.80598931,16.8015506847,Driving
393,59.86060302,10.80582087,16.6406172056,Driving
394,59.86060014,10.80560328,17.139512986,Driving
395,59.86061576,10.80543226,16.7693646028,Driving
396,59.8606289,10.80524259,17.3648216987,Driving
397,59.86064614,10.80498836,18.4913621916,Driving
398,59.86065949,10.80480217,17.7188778084,Driving
399,59.86067437,10.80461283,17.863719014,Driving
400,59.86068417,10.80444283,17.8315313972,Driving
401,59.86072059,10.8042698,16.8498321097,Driving
402,59.86072797,10.80409997,16.1900013153,Driving
403,59.86074794,10.80387649,15.7071978083,Driving
404,59.86075868,10.80370577,15.1439267944,Driving
405,59.86076882,10.80359453,15.4497030139,Driving
406,59.86079799,10.80338719,15.1922066847,Driving
407,59.86080242,10.80327022,13.1161529861,Driving
408,59.86083472,10.80312436,13.7437976986,Driving
409,59.86085736,10.80296311,14.5967495889,Driving
410,59.86086399,10.8028187,14.6611232875,Driving
411,59.86087087,10.80269345,13.2127143014,Driving
412,59.8608831,10.80252663,14.3070687125,Driving
413,59.86089367,10.80244218,12.3597616437,Driving
414,59.86090531,10.80236844,12.0057063014,Driving
415,59.86091394,10.80225569,12.0217993423,Driving
416,59.8609087,10.80216572,10.6699509042,Driving
417,59.86091364,10.80207891,9.84918509583,Walking
418,59.86093032,10.80200145,9.06060690417,Walking
419,59.86094482,10.80188765,8.12718750695,Walking
420,59.86096194,10.8017913,6.79143134234,Walking
421,59.86094202,10.8016877,4.03945342465,Walking
422,59.86094248,10.80159746,8.59389720557,Walking
423,59.86094167,10.80144895,9.14107364374,Walking
424,59.86091519,10.80128104,8.75483145209,Walking
425,59.86088209,10.8011535,8.7870183014,Walking
426,59.86088544,10.80105801,7.37079539722,Walking
427,59.86087637,10.80097161,6.11550712327,Walking
428,59.86087474,10.80086091,4.73147145209,Walking
429,59.8608105,10.80083702,5.60051715069,Walking
430,59.8607579,10.80083419,7.03283309583,Walking
431,59.86066403,10.80088005,8.80311134234,Walking
432,59.8605975,10.80090868,11.3941553972,Driving
433,59.8605193,10.80096378,12.8908458083,Driving
434,59.86045032,10.80103576,13.4380230139,Driving
435,59.86036787,10.80113417,14.6772170958,Driving
436,59.86029837,10.8012148,14.7737784111,Driving
437,59.86022228,10.80127533,14.2105073972,Driving
438,59.86014072,10.80132799,14.0173863014,Driving
439,59.86006393,10.80136982,12.9069396167,Driving
440,59.86002997,10.80140082,10.5572965479,Driving
441,59.85998937,10.80141868,8.98013939722,Walking
442,59.85995186,10.80142733,6.82361819165,Walking
443,59.85990704,10.80146071,3.89461260278,Walking
444,59.859868,10.80143673,2.10824054791,Walking
445,59.85981725,10.80143849,3.9589863014,Walking
446,59.85977606,10.80147313,5.9706663014,Walking
447,59.85970364,10.80148864,9.12498060278,Walking
448,59.85964474,10.80152859,9.75262454791,Walking
449,59.8595809,10.80152075,12.0378931507,Driving
450,59.85949226,10.80150045,12.6494440549,Driving
451,59.85942438,10.80151427,12.7138177535,Driving
452,59.85932606,10.80153723,13.679424,Driving
453,59.85923534,10.80157453,13.277088,Driving
454,59.85915942,10.80160091,13.0678730958,Driving
455,59.85908511,10.80161601,13.0034993972,Driving
456,59.85901651,10.80161323,14.08176,Driving
457,59.85892188,10.80159359,14.6450310139,Driving
458,59.8588465,10.80159005,14.2105073972,Driving
459,59.85876137,10.80159232,14.3875346847,Driving
460,59.85868466,10.80160765,13.4058353972,Driving
461,59.85861501,10.80159348,11.9091457535,Driving
462,59.85855699,10.80161146,11.0883799451,Driving
463,59.8584932,10.80160848,10.6860439451,Driving
464,59.85844438,10.80160442,8.83529819165,Walking
465,59.85839618,10.8016003,8.57780339722,Walking
466,59.85834734,10.80160346,8.9157656986,Walking
467,59.85829389,10.80157274,9.07669994514,Walking
468,59.85824326,10.80157086,8.77092449305,Walking
469,59.85817804,10.80152674,6.17988082187,Walking
470,59.85813262,10.80154768,4.20038767118,Walking
471,59.85807691,10.801603,5.64879742465,Walking
472,59.8581058,10.80155576,0.273588482878,Stationary
473,59.85819089,10.80146852,3.91070602744,Walking
474,59.85815195,10.80148611,2.46229627396,Walking
475,59.85810219,10.80151367,5.03724690417,Walking
476,59.85806094,10.80154145,5.52005002744,Walking
477,59.85798386,10.80152376,8.57780339722,Walking
478,59.85790585,10.80149242,11.265408,Driving
479,59.85782947,10.80145608,13.196620493,Driving
480,59.85777796,10.80139024,13.0678730958,Driving
481,59.85768999,10.80138284,13.5023967125,Driving
482,59.85762311,10.80134642,13.1483406028,Driving
483,59.85751578,10.80132595,15.9325049861,Driving
484,59.85740425,10.80133406,16.4474961097,Driving
485,59.85726479,10.80139139,15.6428241097,Driving
486,59.85719872,10.80135741,15.0634592875,Driving
487,59.85713063,10.80131583,14.1944135889,Driving
488,59.85704492,10.80124278,14.3231609861,Driving
489,59.85698281,10.80127157,12.8425651507,Driving
490,59.85691116,10.80128781,12.2471080549,Driving
491,59.85685541,10.80131809,9.62387715069,Walking
492,59.85681493,10.80132446,7.78922520557,Walking
493,59.85676012,10.80134193,4.40960257535,Walking
494,59.85671744,10.80134786,5.74535797256,Walking
495,59.85666472,10.80136898,6.21206767118,Walking
496,59.8566272,10.80138474,6.839712,Walking
497,59.8565878,10.80139552,7.00064624652,Walking
498,59.85654215,10.80141364,8.72264460278,Walking
499,59.85648844,10.80142565,9.26982180835,Walking
500,59.8564168,10.80143906,10.9113526577,Driving
501,59.85637119,10.80145161,10.0744938083,Driving
502,59.8563215,10.80146781,8.40077534234,Walking
503,59.85628641,10.80149092,6.32472202744,Walking
504,59.85624956,10.80147633,5.11771402744,Walking
505,59.85618156,10.80148171,6.17988082187,Walking
506,59.8561307,10.80154898,7.90187879443,Walking
507,59.8560217,10.80160704,11.4424360549,Driving
508,59.85596623,10.80163249,11.1527536437,Driving
509,59.85591167,10.80167973,10.6538570958,Driving
510,59.85585519,10.8016922,9.36638235626,Walking
511,59.85578816,10.80175152,8.93185950695,Walking
512,59.85573884,10.80178734,8.72264460278,Walking
513,59.85570804,10.80183283,8.28812175348,Walking
514,59.85566917,10.80184205,5.11771402744,Walking
515,59.85559369,10.80184541,6.11550712327,Walking
516,59.85554186,10.80190595,5.68098427396,Walking
517,59.85607326,10.8015841,9.07669994514,Walking
518,59.8555079,10.80193277,4.20038767118,Walking
519,59.85547076,10.80197436,4.74756487673,Walking
520,59.85541063,10.80198814,6.06722684931,Walking
521,59.85534697,10.80203464,6.93627254791,Walking
522,59.85530407,10.80203983,7.40298224652,Walking
523,59.85524641,10.80206079,8.59389720557,Walking
524,59.85518506,10.80207806,9.47903594514,Walking
525,59.85508239,10.80210827,11.8125852056,Driving
526,59.85498243,10.80208751,12.2149212056,Driving
527,59.8548976,10.80216404,12.5850703563,Driving
528,59.85483471,10.80221148,11.8608650958,Driving
529,59.85475471,10.80225567,11.8125852056,Driving
530,59.85466089,10.80229026,11.7803983563,Driving
531,59.85460826,10.80232118,11.2815018083,Driving
532,59.85456133,10.80231049,11.0561930958,Driving
533,59.85450265,10.80228081,10.541203507,Driving
534,59.85445183,10.80227345,9.67215780835,Walking
535,59.8543934,10.80226509,8.54561654791,Walking
536,59.85434861,10.80225803,8.01453315069,Walking
537,59.85429036,10.80222723,5.79363824652,Walking
538,59.85424574,10.80218854,7.12939364374,Walking
539,59.85419819,10.80215475,9.28591484931,Walking
540,59.85413517,10.80208967,10.6216702465,Driving
541,59.85406833,10.80200718,12.391948493,Driving
542,59.85399337,10.80196356,12.6172572056,Driving
543,59.85392536,10.80192433,12.2149212056,Driving
544,59.85386727,10.80184957,12.7620976437,Driving
545,59.8538093,10.80177497,13.3897415889,Driving
546,59.85375216,10.80169856,12.2632010958,Driving
547,59.85369173,10.80161927,12.6011633972,Driving
548,59.85363399,10.80156537,12.8908458083,Driving
549,59.85359182,10.80149028,11.5389966028,Driving
550,59.85354238,10.80141781,10.2837079451,Driving
551,59.8534994,10.80135488,9.62387715069,Walking
552,59.8534442,10.80131471,9.10888679443,Walking
553,59.8534131,10.80126698,7.53172964374,Walking
554,59.85337785,10.80123163,6.34081545209,Walking
555,59.85332006,10.80119036,3.71758454791,Walking
556,59.85324451,10.80109207,9.656064,Walking
557,59.85317617,10.80100972,11.5068097535,Driving
558,59.85310151,10.80092618,12.0861738083,Driving
559,59.85302664,10.80085021,13.6633301917,Driving
